"","X.1","X.2","X.3","Petro","Fico","Fajardo","Hernández","Betancourt"
"1",2022-02-05,"CNC",9,27,4,6,14,7
"2",2022-02-06,"YanHaas",3.84,27,3,7,12,2
"3",2022-02-08,"CELAG",2.86,28.1,2.2,7.2,4.1,NA
"4",2022-03-06,"Guarumo",4.3,32.7,7.7,9.1,8.2,3.3
"5",2022-03-12,"AtlasIntel",4.4,35.2,11.4,11.3,11.2,1.5
"6",2022-03-20,"CNC",9,32,23,10,10,3
"7",2022-03-21,"YanHaas",3.84,37,19,10,11,2
"8",2022-03-21,"MassiveCaller",1.45,33.5,22.1,10.1,8.9,2.4
"9",2022-03-29,"MassiveCaller",1.45,32.4,27.6,12.3,9.5,2.6
"10",2022-04-02,"CNC",9,36.5,24.5,8.4,10,1.5
"11",2022-04-03,"Guarumo",4.3,34,25,9.5,9.3,2.6
"12",2022-04-05,"MassiveCaller",1.45,34.4,28.7,10.8,10.7,2.3
"13",2022-04-07,"CNC",9,34,23,9,12,2
"14",2022-04-13,"MassiveCaller",1.45,32.9,27.2,10,9.3,1.8
"15",2022-04-19,"MassiveCaller",1.45,31.5,29.9,10.4,8.3,1.4
"16",2022-04-21,"CELAG",2.86,42.6,21.8,9.2,11.5,1
"17",2022-04-22,"CNC",9,38,23.8,7.2,9.6,0.9
"18",2022-04-28,"MassiveCaller",1.45,33.8,31.6,8.9,7.5,1.6
"19",2022-04-29,"Invamer",10,43.6,26.7,6.5,13.9,0.5
"20",2022-05-01,"Guarumo",4.3,36.4,30.6,6.9,12.4,1.3
"21",2022-05-04,"MassiveCaller",1.45,35.2,30.4,8.1,8.8,1.5
"22",2022-05-10,"YanHaas",3.84,40,21,7,12,1
"23",2022-05-12,"MassiveCaller",1.45,35.8,28.9,8.7,10.7,2.2
"24",2022-05-15,"CNC",9,38,23,7,16,1
"25",2022-05-16,"TYSE",5.7,36.64,21.4,6.06,10.9,0.88
